0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
895,261,236,-55,236,-94,310,126,163,52,273,16,200,52,200,16,15,15,332
930,367,310,15,310,-20,384,236,200,126,347,163,310,163,200,52,-90,85,437
1001,473,420,156,420,52,494,273,273,163,420,236,347,163,236,89,85,156,437
1036,508,457,85,384,16,420,126,273,52,420,163,347,89,200,16,156,121,367
1001,543,457,156,384,-20,420,200,236,16,420,163,347,126,200,52,-90,121,367
930,437,420,85,347,-20,384,89,200,-20,384,126,236,52,126,16,85,15,261
684,261,310,-19,236,-131,273,16,163,-94,273,52,200,16,89,16,-160,-90,191
473,156,236,15,200,-131,236,-20,89,-167,236,16,200,-20,52,-20,-160,-125,156
332,15,163,-19,163,-131,89,-167,16,-315,200,-20,126,-94,52,-57,-19,-125,50
191,-90,163,15,163,-94,89,-131,-20,-315,200,16,126,-20,89,16,-266,-90,85
50,-125,200,-19,163,-94,89,-167,16,-315,200,-20,52,-57,89,-20,-55,-125,15
-125,-160,126,-90,126,-167,16,-241,52,-278,163,-20,52,-131,89,-20,-195,-125,15
-195,-125,126,-19,163,-131,126,-131,126,-167,126,52,89,-57,163,89,-231,-55,50
-160,-125,126,-19,89,-94,89,-167,126,-167,89,89,52,-20,126,89,-55,-90,15
-160,-90,89,-19,89,-94,89,-57,89,-131,89,126,52,52,89,89,-336,-55,50
-160,-19,89,15,89,-57,89,-20,89,-94,89,89,16,52,52,52,-125,-19,50
-231,-19,16,-55,52,-57,89,-57,126,-94,16,52,-20,16,89,52,-195,-55,85
-301,-19,16,15,52,-57,236,52,163,-57,16,89,52,89,126,126,-301,-19,156
-301,-55,16,-90,52,-94,163,-57,126,-131,16,16,16,16,89,52,-125,-55,85
-301,-90,-20,-90,16,-131,126,16,89,-131,-20,16,16,52,52,16,-371,-90,85
-301,-55,-57,-55,16,-94,126,52,89,-94,-57,16,-20,52,16,52,-266,-90,50
-371,-90,-94,-125,-94,-131,16,-57,16,-94,-131,-94,-57,-20,-57,52,-266,-160,15
-371,-125,-94,-90,-94,-131,52,16,-20,-57,-94,-131,16,52,-20,126,-442,-125,85
-301,-55,-94,-90,-57,-94,52,-20,16,-20,-94,-131,-20,52,16,89,-160,-125,50
-266,-19,-131,-125,-94,-131,52,16,52,16,-94,-131,52,89,52,126,-371,-160,50
-231,-19,-167,-90,-57,-167,89,16,89,89,-57,-57,89,126,89,163,-301,-160,50
-266,-19,-167,-125,-57,-167,16,-57,89,89,-57,-57,52,89,89,163,-195,-125,50
-336,85,-57,-55,52,-94,126,89,163,200,52,16,163,163,163,236,-336,50,156
-266,156,52,15,163,16,163,52,200,126,126,89,163,163,200,200,-19,121,121
