0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
-195,-19,-57,-19,16,16,-20,89,-131,163,-241,52,89,89,52,163,-90,-90,15
121,121,163,85,-94,126,16,16,-20,-167,126,126,89,163,126,126,191,121,15
85,85,126,-19,-94,52,-57,-20,16,-131,126,52,89,126,89,126,121,50,15
85,15,52,-55,-57,16,16,16,-20,52,126,52,89,89,89,126,15,85,-19
85,15,16,-90,-20,16,-57,16,-57,89,89,52,16,89,16,126,-55,85,-19
121,85,52,-19,16,52,-57,52,52,52,126,52,89,126,52,89,50,261,156
226,156,200,121,52,163,89,126,163,52,236,89,200,126,126,89,226,332,226
261,156,236,156,126,126,52,52,52,-20,200,89,163,52,89,52,191,261,121
85,121,126,121,16,89,-20,52,-57,-20,89,52,52,16,16,52,50,226,85
-19,50,-20,85,-57,126,-20,126,52,126,16,52,16,52,-20,126,15,191,191
15,50,52,85,16,89,16,126,163,163,52,52,52,16,52,89,85,226,226
50,15,163,15,52,16,163,52,126,126,126,16,126,-57,89,52,156,226,156
156,15,273,-19,163,16,163,89,126,163,163,16,163,16,126,89,191,156,85
156,50,273,15,236,163,200,236,163,236,200,16,200,163,200,200,156,226,121
121,15,236,15,273,273,236,273,163,273,89,-20,163,163,163,236,121,156,156
121,15,200,-55,347,236,310,200,236,273,52,-20,200,89,236,200,15,85,191
50,-19,126,-90,236,163,347,126,273,126,52,-57,126,89,236,163,-55,50,50
15,-19,89,-19,126,163,200,126,273,16,16,-57,89,200,200,163,15,50,15
50,-19,126,85,126,236,236,163,273,126,52,16,126,236,236,163,121,156,121
50,50,126,156,200,200,310,126,200,200,-20,89,89,163,200,126,121,121,85
15,156,52,156,163,89,200,89,89,200,-57,89,52,126,200,89,15,85,-19
15,121,16,121,89,89,163,89,89,200,-57,89,89,126,236,126,-55,85,50
50,85,52,121,89,126,163,163,126,310,-20,52,126,126,236,200,-19,121,156
-19,50,16,85,89,163,163,236,163,347,-20,16,163,126,200,200,-55,226,156
-90,-90,-20,15,16,126,163,126,52,126,-57,-57,126,126,126,89,-90,121,50
-55,-90,-20,15,52,52,89,16,-20,-20,-94,-20,126,126,163,16,-55,50,-19
15,85,52,50,163,89,200,89,16,89,-57,52,163,163,236,89,-19,156,121
85,191,89,85,236,200,273,163,163,200,-20,126,200,200,236,126,85,191,191
85,191,89,121,273,236,200,126,126,52,-57,89,236,200,200,89,85,226,156
-19,85,16,121,200,273,200,163,52,89,-131,52,200,200,200,52,50,226,85
-19,50,-20,191,200,310,126,273,16,236,-131,89,163,310,163,126,85,226,50
15,121,52,226,163,347,126,347,52,347,-57,126,200,347,126,163,121,297,121
50,156,89,191,163,273,89,273,89,273,-20,163,163,273,89,126,156,191,121
85,156,89,121,89,163,16,126,89,126,-20,126,52,200,126,52,85,156,50
85,156,89,156,16,163,126,126,89,163,52,126,52,236,163,89,121,156,50
156,156,163,191,163,163,163,126,163,236,126,126,126,236,163,89,191,121,156
226,191,236,191,200,126,236,163,236,273,236,163,163,126,200,126,226,191,261
226,191,273,191,163,52,236,126,236,236,273,200,126,126,126,126,226,121,261
261,191,310,191,126,52,126,89,236,163,347,236,126,200,89,126,261,121,226
297,191,347,156,89,52,163,16,200,52,384,236,126,200,126,126,261,156,121
297,156,310,191,163,52,126,16,163,126,347,163,126,163,126,163,332,191,85
297,156,310,226,126,52,52,52,200,89,347,89,126,126,89,126,367,261,121
297,156,347,261,89,89,89,52,236,16,347,52,89,52,52,89,402,191,121
332,156,347,261,126,52,89,89,273,163,347,89,89,16,126,126,402,156,121
